74, 85, 123, 3
73, 84, 122, 1
72, 83, 121, 4
70, 81, 119, 2
70, 81, 119, 3
69, 80, 118, 1
70, 81, 119, 2
70, 81, 119, 4
76, 87, 125, 1
76, 87, 125, 2
77, 88, 126, 4
77, 88, 126, 1
77, 88, 126, 3
78, 89, 127, 2
77, 85, 125, 4
78, 86, 126, 1
78, 86, 126, 2
77, 85, 125, 3
76, 84, 124, 1
77, 85, 125, 4
80, 88, 128, 2
83, 91, 131, 1
83, 91, 131, 3
84, 92, 132, 4
84, 92, 132, 2
83, 91, 131, 1
80, 88, 128, 3
78, 86, 126, 2
78, 86, 126, 4
79, 87, 127, 1
78, 86, 126, 2
79, 87, 127, 3
81, 89, 129, 1
82, 90, 130, 3
83, 91, 131, 4
82, 90, 130, 1
81, 89, 129, 2
81, 89, 129, 4
84, 92, 132, 1
81, 89, 129, 1
79, 87, 127, 3
79, 87, 127, 2
82, 90, 130, 4
83, 91, 131, 1
82, 90, 130, 2
78, 88, 128, 3
79, 89, 129, 4
78, 90, 130, 1
79, 91, 131, 2
80, 92, 132, 4
80, 92, 132, 1
80, 92, 132, 3
80, 92, 132, 4
79, 91, 131, 1
83, 95, 135, 2
82, 94, 134, 3
81, 93, 133, 4
80, 92, 132, 1
78, 90, 130, 2
77, 89, 129, 1
76, 88, 128, 4
73, 88, 127, 2
75, 90, 129, 3
75, 90, 129, 1
78, 88, 128, 4
79, 87, 127, 1
80, 86, 129, 2
78, 85, 128, 3
75, 84, 128, 1
69, 85, 128, 2
61, 82, 127, 3
152, 179, 223, 4
144, 176, 219, 3
146, 180, 223, 1
156, 185, 230, 2
164, 190, 236, 1
165, 189, 235, 4
168, 190, 238, 3
168, 189, 244, 4
170, 190, 247, 1
175, 195, 250, 2
180, 201, 253, 3
187, 203, 255, 4
192, 207, 255, 1
194, 208, 255, 2
196, 209, 253, 4
205, 214, 255, 3
206, 215, 253, 2
207, 215, 252, 4
210, 217, 250, 1
215, 217, 251, 3
217, 220, 251, 2
220, 222, 252, 4
221, 224, 255, 1
222, 228, 255, 3
218, 226, 255, 2
215, 223, 255, 1
213, 221, 255, 3
211, 219, 255, 4
210, 218, 255, 1
211, 219, 255, 2
211, 219, 255, 4
210, 218, 255, 1
211, 219, 255, 3
211, 219, 255, 1
211, 219, 255, 2
211, 219, 255, 3
210, 218, 255, 4
209, 217, 254, 1
207, 216, 253, 3
208, 218, 252, 1
206, 218, 252, 2
206, 218, 252, 3
206, 218, 252, 2
206, 218, 254, 1
206, 218, 254, 2
206, 217, 255, 4
206, 217, 255, 1
209, 220, 255, 3
208, 219, 255, 4
208, 218, 255, 1
207, 217, 255, 2
206, 216, 255, 3
205, 215, 255, 1
204, 214, 254, 4
203, 213, 253, 1
205, 213, 253, 2
206, 214, 254, 1
206, 214, 254, 3
207, 215, 255, 4
208, 216, 255, 1
208, 216, 255, 2
209, 217, 255, 4
209, 217, 255, 1
200, 208, 248, 2
204, 212, 252, 3
207, 215, 255, 1
209, 217, 255, 4
208, 216, 255, 1
207, 215, 255, 2
207, 215, 255, 4
207, 216, 254, 1
207, 219, 253, 3
208, 221, 253, 1
209, 221, 255, 4
209, 221, 255, 2
208, 220, 254, 3
207, 219, 253, 1
205, 217, 253, 4
204, 216, 252, 1
204, 215, 253, 3
203, 214, 252, 1
202, 212, 252, 4
201, 211, 251, 2
201, 210, 253, 1
201, 210, 253, 2
201, 210, 253, 4
202, 211, 254, 1
202, 212, 252, 2
202, 212, 252, 1
203, 213, 253, 4
203, 213, 253, 1
203, 213, 253, 2
204, 214, 254, 3
204, 214, 254, 1
204, 214, 254, 4
202, 212, 252, 1
202, 212, 252, 3
202, 212, 252, 1
202, 212, 252, 4
202, 212, 252, 2
202, 212, 252, 1
202, 212, 252, 3
202, 212, 252, 4
196, 207, 251, 1
195, 206, 250, 4
194, 205, 249, 3
